job_title,company_name,location,salary,skills,url,source,description
Senior Full-stack Web and AI Developer,East Agile,Dashboard,"1,500 - 4,500 USD",AI | ReactJS | Fullstack | Python,https://itviec.com/it-jobs/senior-full-stack-web-and-ai-developer-east-agile-1234,itviec,
"Senior IT Business Analyst (LOS, CRM system)",SHBFinance,Dashboard,"1,000 - 1,500 USD",Business Analysis | SRS | BRD | BPMN | Agile | User diagram,https://itviec.com/it-jobs/senior-it-business-analyst-los-crm-system-shbfinance-1653,itviec,
"DevOps Engineer (AWS, Cloud)",Deliveree On-Demand Logistics,Dashboard,You'll love it,DevOps | Prometheus | Docker | Cloud | AWS | Kubernetes,https://itviec.com/it-jobs/devops-engineer-aws-cloud-deliveree-on-demand-logistics-3519,itviec,
"Senior Software Engineer (Java, Springboot, PostgreSQL)",SHBFinance,Dashboard,"1,000 - 2,000 USD",Java | BPMN | Microservices | Oracle | PostgreSql,https://itviec.com/it-jobs/senior-software-engineer-java-springboot-postgresql-shbfinance-1933,itviec,
"Application Developer (.Net Core 6, C#, HTML, ReactJS)",Gene Solutions,Dashboard,You'll love it,.Net Core | Entity Framework | ReactJS | C# | .NET | SQL,https://itviec.com/it-jobs/application-developer-net-core-6-c-html-reactjs-gene-solutions-1907,itviec,
Android Developer (Kotlin) - Up to 45M,NTT DATA VDS,Dashboard,"850 - 1,750 USD",Kotlin | MVP | MVVM | kotlinx.coroutines | Retrofit | Android,https://itviec.com/it-jobs/android-developer-kotlin-up-to-45m-ntt-data-vds-1318,itviec,
"Senior Automation Tester (QA QC, Selenium, Java)",ekino Vietnam,Dashboard,Attractive salary!,Automation Test | TypeScript | JavaScript | Java | Playwright,https://itviec.com/it-jobs/senior-automation-tester-qa-qc-selenium-java-ekino-vietnam-5733,itviec,
BI Supervisor (SQL/ English),FOUR HANDS,Dashboard,You'll love it,Power BI | SQL | English,https://itviec.com/it-jobs/bi-supervisor-sql-english-four-hands-3905,itviec,
Telecom Business Architect,Huawei,Dashboard,"1,000 - 3,000 USD",Business Analysis | Data Analysis,https://itviec.com/it-jobs/telecom-business-architect-huawei-5659,itviec,
Project Manager,"TPIsoftware Co., Ltd",Dashboard,You'll love it,Project Management | Risk Management | Scrum | English | Jira,https://itviec.com/it-jobs/project-manager-tpisoftware-co-ltd-1520,itviec,
HCM-Junior Implementation Consultant (SQL/Oracle/Java),OpenWay Asia,Dashboard,"600 - 1,000 USD",Fresher Accepted | SQL | Oracle | JavaScript,https://itviec.com/it-jobs/hcm-junior-implementation-consultant-sql-oracle-java-openway-asia-2421,itviec,
Frontend Developer (Angular),Oivan,Dashboard,You'll love it,Angular | TypeScript | CSS,https://itviec.com/it-jobs/frontend-developer-angular-oivan-1959,itviec,
Senior Ruby on Rails Developer,ZIGExN VeNtura,Dashboard,You'll love it,Ruby on Rails | Cloud | CI/CD | Ruby | VueJS | ReactJS,https://itviec.com/it-jobs/senior-ruby-on-rails-developer-zigexn-ventura-1925,itviec,
[HCMC/HN/DN] Software Engineer (Java/PHP/Angular),The Rep. Office of STYL Solutions Pte. Ltd. In HCMC,Dashboard,You'll love it,PHP | English | AWS | Angular | Java,https://itviec.com/it-jobs/hcmc-hn-dn-software-engineer-java-php-angular-the-rep-office-of-styl-solutions-pte-ltd-in-hcmc-1153,itviec,
DevOps Engineer,Oivan,Dashboard,You'll love it,DevOps | English | MongoDB | PostgreSql | Database | Azure,https://itviec.com/it-jobs/devops-engineer-oivan-1005,itviec,
Senior PHP Developer (Laravel / ReactJS / VueJS),ZIGExN VeNtura,Dashboard,You'll love it,PHP | VueJS | Laravel | ReactJS | NextJS,https://itviec.com/it-jobs/senior-php-developer-laravel-reactjs-vuejs-zigexn-ventura-0018,itviec,
